"","School","City","Killed","Wounded"
"Jan 9, 2014","Liberty Technology Magnet High School","Jackson, TN","0","1"
"Jan 13, 2014","Hillhouse High School","New Haven, CT","0","1"
"Jan 14, 2014","Berrendo Middle School","Roswell, NM","0","3"
"Jan 17, 2014","Delaware Valley Charter School","Philadelphia, PA","0","2"
"Jan 27, 2014","Rebound High School","Carbondale, IL","0","1"
"Jan 31, 2014","North High School","Des Moines, IA","0","1"
"Feb 10, 2014","Salisbury High School","Salisbury, NC","0","1"
"Mar 12, 2014","Academy of Knowledge Preschool","Miami, FL","1","0"
"Mar 25, 2014","Benjamin Banneker High School","College Park, GA","0","0"
"Apr 9, 2014","D. H. Conley High School","Greenville, NC","0","0"
"Apr 11, 2014","East English Village Preparatory Academy","Detroit, MI","1","0"
"May 14, 2014","John F. Kennedy High School","Richmond, CA","0","1"
"Jun 10, 2014","Reynolds High School","Troutdale, OR","2","1"
"Sep 9, 2014"," Kennedy High School","Miami, FL","0","1"
"Sep 30, 2014","Albemarle High School","Albemarle, NC","0","1"
"Sep 30, 2014","Fern Creek Traditional High School","Louisville, KY","0","1"
"Oct 3, 2014","Langston Hughes High School","Fairburn, GA","1","0"
"Oct 24, 2014","Marysville Pilchuck High School","Marysville, WA","5","1"
"Nov 20, 2014","Miami Carol City High School","Miami, FL","1","1"
"Dec 12, 2014","Rosemary Anderson High School","Portland, OR","0","4"
"Jan 15, 2015","Wisconsin Lutheran High School","Milwaukee, WI","0","3"
"Jan 16, 2015","Vanguard High School","Ocala, FL","0","2"
"Feb 4, 2015","Frederick High School","Frederick, MD","0","2"
"Feb 14, 2015","Tenaya Middle School","Merced, CA","1","0"
"Apr 27, 2015","North Thurston High School","Lacey, WA","0","0"
"May 12, 2015","School bus","Jacksonville, FL","0","2"
"Sep 30, 2015","Harrisburg High School","Harrisburg, SD","0","1"
"Jan 22, 2016","Lawrence Central High School","INpolis, IN","0","1"
"Jan 29, 2016","Franklin High School","Philadelphia, PA","0","0"
"Feb 9, 2016","Muskegon Heights High School","Muskegon Heights, MI","0","4"
"Feb 12, 2016","Independence High School","Glendale, AZ","2","0"
"Feb 29, 2016","Madison High School","Middletown, OH","0","4"
"Apr 23, 2016","Antigo High School","Antigo, WI","1","2"
"Jun 8, 2016","Jeremiah Burke High School","Dorchester, MA","1","3"
"Sep 9, 2016","Alpine High School","Alpine, TX","1","2"
"Sep 28, 2016","Townville Elementary School","Townville, SC","2","2"
"Oct 11, 2016","Vigor High School","Mobile, AL","0","1"
"Oct 13, 2016","Linden McKinley STEM Academy","Columbus, OH","0","2"
"Oct 18, 2016","June Jordan High School for Equity","San Francisco, CA","0","4"
"Oct 25, 2016","Union Middle School","Sandy, UT","0","1"
"Dec 1, 2016","Mueller Park Junior High School","Bountiful, UT","0","0"
"Jan 20, 2017","West Liberty-Salem High School","West Liberty, OH","0","1"
"Mar 21, 2017","King City High School","King City, CA","0","1"
"Apr 10, 2017","North Park Elementary School","San Bernardino, CA","3","1"
"Sep 13, 2017","Freeman High School","Rockford, WA","1","3"
"Sep 20, 2017","Mattoon High School","Mattoon, IL","0","1"
"Nov 14, 2017","Rancho Tehama Elementary School","Rancho Tehama Reserve, CA","6","18"
"Dec 7, 2017","Aztec High School","Aztec, NM","3","0"
"Jan 22, 2018","Italy High School","Italy, TX","0","1"
"Jan 22, 2018","NET Charter High School","New Orleans, LA","0","1"
"Jan 23, 2018","Marshall County High School","Marshall County, KY","2","18"
"Feb 1, 2018","Sal Castro Middle School","Los Angeles, CA","0","5"
"Feb 14, 2018","Marjory Stoneman Douglas High School","Parkland, FL","17","14"
