chart_id	category	value_m	value_e	order
sec5_1	Average number of EL students	11	29	1
sec5_1	Median number of EL students	4	17	2
sec5_2	Not confident in ability to teach EL students	0.06	0	1
sec5_2	Somewhat confident in ability to teach EL students	0.41	0.29	2
sec5_2	Very confident in ability to teach EL students	0.54	0.71	3
