chart_id	category	value_m	value_e	order
sec4_1	At the K-12 level	12	13	1
sec4_1	At your current grade level	11	13	2
sec4_1	In this district	11	13	3
sec4_2	One year teaching ELs	0.24	0.04	1
sec4_2	2 - 5 years teaching ELs	0.3	0.27	2
sec4_2	6 - 10 years teaching ELs	0.24	0.21	3
sec4_2	11 or more years teaching ELs	0.23	0.47	4
