Speaker,Season,Episode,SeriesNumber,EpisodeCount,EpisodeTotal,EpisodePct
Michael,9,2,165,0,293,0
Michael,9,3,166,0,242,0
Michael,9,4,167,0,302,0
Michael,9,5,168,0,240,0
Michael,9,6,169,0,255,0
Michael,9,7,170,0,263,0
Michael,9,8,171,0,282,0
Michael,9,9,172,0,287,0
Michael,9,10,173,0,225,0
Michael,9,11,174,0,228,0
Michael,9,12,175,0,249,0
Michael,9,13,176,0,210,0
Michael,9,14,177,0,221,0
Michael,9,15,178,0,235,0
Michael,9,16,179,0,423,0
Michael,9,17,180,0,142,0
Michael,9,18,181,0,270,0
Michael,9,19,182,0,246,0
Michael,9,20,183,0,195,0
Michael,9,21,184,0,333,0
Michael,9,22,185,0,444,0
Michael,9,23,186,2,432,0.00462963
Dwight,1,1,1,35,262,0.133587786
Dwight,1,2,2,40,245,0.163265306
Dwight,1,3,3,88,313,0.28115016
Dwight,1,4,4,74,354,0.209039548
Dwight,1,5,5,46,285,0.161403509
Dwight,1,6,6,44,360,0.122222222
Dwight,2,1,7,74,381,0.194225722
Dwight,2,2,8,12,289,0.041522491
Dwight,2,3,9,87,375,0.232
Dwight,2,4,10,83,370,0.224324324
Dwight,2,5,11,36,325,0.110769231
Dwight,2,6,12,77,310,0.248387097
Dwight,2,7,13,24,285,0.084210526
Dwight,2,8,14,67,401,0.167082294
Dwight,2,9,15,45,344,0.130813953
Dwight,2,10,16,51,337,0.151335312
Dwight,2,11,17,28,286,0.097902098
Dwight,2,12,18,68,385,0.176623377
Dwight,2,13,19,54,299,0.180602007
Dwight,2,14,20,48,324,0.148148148
Dwight,2,15,21,17,298,0.05704698
Dwight,2,16,22,29,203,0.142857143
Dwight,2,17,23,64,252,0.253968254
Dwight,2,18,24,30,245,0.12244898
Dwight,2,19,25,46,262,0.175572519
Dwight,2,20,26,92,277,0.332129964
Dwight,2,21,27,50,286,0.174825175
Dwight,2,22,28,40,367,0.108991826
Dwight,3,1,29,18,171,0.105263158
Dwight,3,2,30,46,288,0.159722222
Dwight,3,3,31,77,275,0.28
Dwight,3,4,32,40,290,0.137931034
Dwight,3,5,33,57,292,0.195205479
Dwight,3,6,34,8,237,0.033755274
Dwight,3,7,35,42,240,0.175
Dwight,3,8,36,86,514,0.167315175
Dwight,3,9,37,4,165,0.024242424
Dwight,3,10,38,62,468,0.132478632
Dwight,3,11,39,39,303,0.128712871
Dwight,3,12,40,33,228,0.144736842
Dwight,3,13,41,25,190,0.131578947
Dwight,3,14,42,29,188,0.154255319
Dwight,3,15,43,25,152,0.164473684
Dwight,3,16,44,25,220,0.113636364
Dwight,3,17,45,35,283,0.123674912
Dwight,3,18,46,18,339,0.053097345
Dwight,3,19,47,70,360,0.194444444
Dwight,3,20,48,42,345,0.12173913
Dwight,3,21,49,46,306,0.150326797
Dwight,3,22,50,50,339,0.147492625
Dwight,3,23,51,70,449,0.155902004
Dwight,4,1,52,57,540,0.105555556
Dwight,4,2,53,74,585,0.126495726
Dwight,4,3,54,91,552,0.164855072
Dwight,4,4,55,53,505,0.104950495
Dwight,4,5,56,11,258,0.042635659
Dwight,4,6,57,47,294,0.159863946
Dwight,4,7,58,36,273,0.131868132
Dwight,4,8,59,5,251,0.019920319
Dwight,4,9,60,18,316,0.056962025
Dwight,4,10,61,23,254,0.090551181
Dwight,4,11,62,48,335,0.143283582
Dwight,4,12,63,32,308,0.103896104
Dwight,4,13,64,11,191,0.057591623
Dwight,4,14,65,49,607,0.080724876
Dwight,5,1,66,61,551,0.110707804
Dwight,5,2,67,14,256,0.0546875
Dwight,5,3,68,39,311,0.125401929
Dwight,5,4,69,33,290,0.113793103
Dwight,5,5,70,38,430,0.088372093
Dwight,5,6,71,100,400,0.25
Dwight,5,7,72,16,287,0.055749129
Dwight,5,8,73,38,262,0.145038168
Dwight,5,9,74,29,304,0.095394737
Dwight,5,10,75,27,234,0.115384615
Dwight,5,11,76,66,281,0.234875445
Dwight,5,12,77,74,223,0.331838565
Dwight,5,13,78,73,374,0.195187166
Dwight,5,14,79,25,200,0.125
Dwight,5,15,80,33,236,0.139830508
Dwight,5,16,81,33,250,0.132
Dwight,5,17,82,71,282,0.25177305
Dwight,5,18,83,21,206,0.101941748
Dwight,5,19,84,12,231,0.051948052
Dwight,5,20,85,17,244,0.069672131
Dwight,5,21,86,30,232,0.129310345
Dwight,5,22,87,83,274,0.302919708
Dwight,5,23,88,25,199,0.125628141
Dwight,5,24,89,49,319,0.153605016
Dwight,5,25,90,32,276,0.115942029
Dwight,5,26,91,41,218,0.188073394
Dwight,6,1,92,25,313,0.079872204
Dwight,6,2,93,32,231,0.138528139
